sentence	label
like their characters 	1
yes , mibii is rote work and predictable , but with a philosophical visual coming right at the end that extravagantly redeems it . 	1
shot on ugly digital video . 	0
exhilarating documentary 	1
that 's because panic room is interested in nothing more than sucking you in ... and making you sweat . 	1
mediocre movies 	0
his genre and his character construct is a wonderous accomplishment of veracity and narrative grace 	1
indoor drama 	1
strip it of all its excess debris , 	0
will lead when given the opportunity 	1
if the movie knew what to do with him 	0
can draw people together across the walls that might otherwise separate them 	1
powerful , naturally dramatic piece 	1
an auspicious feature debut for chaiken 	1
the best ` old neighborhood ' project 	1
their outrageousness 	1
captures the raw comic energy of one of our most flamboyant female comics 	1
steals 	0
fails to convince the audience that these brats will ever be anything more than losers 	0
even if the ring has a familiar ring , it 's still unusually crafty and intelligent for hollywood horror . 	1
fling 	1
my greatest pictures 	1
big ending surprise 	1
if i could have looked into my future and saw how bad this movie was , i would go back and choose to skip it . 	0
, almost mystical work 	1
black-and-white psychedelia 	1
catches dramatic fire 	1
be a lot better if it pared down its plots and characters to a few rather than dozens ... or if it were subtler ... or if it had a sense of humor 	0
is a shrewd and effective film from a director who understands how to create and sustain a mood 	1
full of detail about the man and his country , and is well worth seeing . 	1
of above the rest 	1
proficient , dull sorvino 	0
a heroic tale 	1
may cause you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists . 	0
a heroine 	1
never seems hopelessly juvenile . 	0
an oddity , to be sure , but one that you might wind up remembering with a degree of affection rather than revulsion 	1
unlike most animaton from japan , the characters move with grace and panache 	1
successfully blended satire , 	1
once overly old-fashioned in its sudsy plotting 	0
a potentially good comic premise and excellent cast are terribly wasted . 	0
watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped ? 	0
parable that loves its characters and communicates something rather beautiful about human nature 	1
` swept away ' sinks . 	0
two signs that m. night shyamalan 's debut feature sucked up all he has to give to the mystic genres of cinema : unbreakable and signs 	0
keeps us riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity 	1
the fluid motion is astounding on any number of levels 	1
several times here and reveals how bad an actress she is . 	0
snide and 	0
be galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie 	0
it 's about as convincing as any other arnie musclefest , but has a little too much resonance with real world events and ultimately comes off as insultingly simplistic . 	0
the film runs on a little longer than it needs to 	0
workmanlike 	1
that does n't even in passing mention political prisoners , poverty and the boat loads of people who try to escape the country 	0
, they finally feel absolutely earned 	1
`` elling '' manages to do all three quite well , making it one of the year 's most enjoyable releases 	1
was reportedly rewritten a dozen times 	0
unambitious writing emerges in the movie , using a plot that could have come from an animated-movie screenwriting textbook . 	0
little room for engaging , imaginative filmmaking in its nearly 2 1/2 	0
gives everyone something 	1
is grossly contradictory in conveying its social message , 	0
here is doa . 	0
biggest husband-and-wife disaster 	0
technically sumptuous but also 	1
of seeming at once both refreshingly different and reassuringly familiar 	1
a small movie 	0
needs some serious re-working to show more of the dilemma , rather than have his characters stage shouting 	0
director shekhar kapur and screenwriters michael schiffer and hossein amini have tried hard to modernize and reconceptualize things , but the barriers finally prove to be too great . 	0
exhilarating but blatantly biased . 	1
juvenile delinquent 	0
evolved from star to superstar some time over the past year , which means that birthday girl is the kind of quirkily appealing minor movie she might not make for a while . 	1
before it collapses into exactly the kind of buddy cop comedy 	0
( a ) rather thinly-conceived movie . 	0
it is to be ya-ya 	1
is essentially a `` dungeons and dragons '' fantasy with modern military weaponry 	0
remarkably dull with only caine 	0
pretend like your sat scores are below 120 and you might not notice the flaws . 	0
falls into the trap of pretention almost every time 	0
romance , tragedy 	1
looks closely , insightfully 	1
tells its poignant and uplifting story in a stunning fusion of music and images 	1
the extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles 	1
it also rocks . 	1
is a case of too many chefs fussing over too weak a recipe . 	0
you laugh 	1
and con , for adults 	0
of our most conservative and hidebound movie-making traditions 	0
dissing the film that they did n't mind the ticket cost 	0
musty as one of the golden eagle 's carpets 	0
new best friend '' 	1
that my enjoyment came at the expense of seeing justice served , even if it 's a dish that 's best served cold 	1
turn on many people 	1
under our skin 	0
filmmakers and performers of this calibre 	1
a dull , somnambulant exercise in pretension whose pervasive quiet 	0
powerful and astonishingly vivid 	1
's quinn ( is ) a leather clad grunge-pirate with a hairdo like gandalf in a wind-tunnel and a simply astounding cor-blimey-luv-a-duck cockney accent . ' 	1
in a big way 	1
a slight but sweet film 	1
is more than a movie 	1
may fall fast asleep 	0
is intriguing , provocative stuff . 	1
gets vivid , convincing performances from a fine cast , and generally keeps things going at a rapid pace , occasionally using an omniscient voice-over narrator in the manner of french new wave films 	1
generally smart casting 	1
nails all of orlean 's themes 	1
the unique niche of self-critical , behind-the-scenes navel-gazing kaufman has carved from orleans ' story and his own infinite insecurity is a work of outstanding originality . 	1
first-class , natural acting and 	1
brings to a spectacular completion one 	1
boasting some of the most poorly staged and lit action in memory , impostor is as close as you can get to an imitation movie . 	0
a manipulative feminist empowerment tale thinly posing as a serious drama about spousal abuse . 	0
dry humor and jarring shocks 	1
wore out its welcome with audiences several years ago 	0
drivel 	0
on a potentially interesting idea 	1
consider a dvd rental instead 	0
substance and soul 	1
ransacks its archives for a quick-buck sequel 	0
can tell almost immediately that welcome to collinwood is n't going to jell 	0
all leather pants & augmented boobs , hawn 	0
riveting and handsomely 	1
it does n't make for great cinema 	0
that provides a rounded and revealing overview of this ancient holistic healing system 	1
scratching your head in amazement over the fact that so many talented people could participate in such an 	0
there is an interesting story of pointed personalities , courage , tragedy and the little guys vs. the big guys 	1
insufferable movie 	0
... enthusiastically invokes the percussion rhythm , the brass soul and the sense of fierce competition that helps make great marching bands half the fun of college football games . 	1
of earnest textbook psychologizing 	1
that explore the seamy underbelly of the criminal world 	1
one hour photo is a sobering meditation on why we take pictures . 	1
be as intelligent 	1
so insatiable it absorbs all manner of lame entertainment , 	0
by the sheer beauty of his images 	1
of the things costner movies are known for 	1
were a series of bible parables and not an actual story 	0
greatest 	1
some serious suspense 	1
nothing we have n't seen before from murphy 	0
treats his women -- as dumb , credulous , unassuming , subordinate subjects 	0
that are damned in queen of the damned 	0
more appealing 	1
to our basest desires 	1
it explores the awful complications of one terrifying day 	1
in heaven 	1
sometimes just lapses into unhidden british 	0
superbly acted offbeat thriller 	1
it wo n't hold up over the long haul 	0
two gifted performers 	1
, it succeeds . 	1
nothing overly original , mind you , but solidly entertaining . 	1
given a part worthy of her considerable talents 	1
promises is a compelling piece that demonstrates just how well children can be trained to live out and carry on their parents ' anguish . 	1
trying to drown yourself in a lake afterwards 	0
lighting effects and 	1
it otherwise drowns in a sea of visual and verbal clichés 	0
not invite some genuine spontaneity into the film by having the evil aliens ' laser guns actually hit something for once ? 	0
tsai ming-liang 's witty , wistful new film , what time is it there ? 	1
jolts the laughs from the audience -- as if by cattle prod . 	1
more than a whiff of exploitation 	0
it 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend . 	0
the screen -- loud , violent and mindless 	0
the filmmakers know how to please the eye , but 	1
in kicking around a raison d'etre that 's as fresh-faced as its young-guns cast 	1
severe body odor 	0
the dark visions already relayed by superb 	1
( gulpilil ) is a commanding screen presence , 	1
is suspenseful and ultimately unpredictable , with a sterling ensemble cast 	1
that the e-graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and empathy . 	1
is an uneven film for the most part 	0
what ensues are much blood-splattering , mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between americans and brits . 	0
the experience worthwhile 	1
more like a travel-agency video targeted at people who like to ride bikes 	0
catches you up in something bigger than yourself 	1
gaghan captures the half-lit , sometimes creepy intimacy of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing . 	0
i thoroughly enjoyed the love story 	1
able to look ahead and resist living in a past 	1
comedy fare 	1
inspiring and pure 	1
stays with you long after you have left the theater 	1
steers clear of the sensational and 	1
fun cheese puff 	1
movie-biz 	0
the gorgeously elaborate continuation 	1
miraculous 	1
it is n't that stealing harvard is a horrible movie -- if only it were that grand a failure ! 	0
steadfastly uncinematic but powerfully dramatic . 	1
would have a hard time sitting through this one . 	0
self-important summer fluff 	0
to fall prey to a boatload of screenwriting cliches that sink it faster than a leaky freighter 	0
the april 2002 instalment of the american war for independence , complete with loads of cgi and bushels of violence , but not a drop of human blood . 	0
screenwriting cliches that sink it faster than a leaky freighter 	0
unbearable 	0
kong action 	1
i have to admit i walked out of runteldat . 	0
an abyss 	0
much of a mixed bag , with enough negatives 	0
a bewilderingly brilliant and entertaining 	1
sometimes inadequate 	0
sabotaged by ticking time bombs and other hollywood-action cliches 	0
ride around a pretty tattered old carousel . 	0
's moving 	1
how horrible we are to ourselves and each other 	0
the last kiss will probably never achieve the popularity of my big fat greek wedding , but 	0
to enjoy its own transparency 	1
those famous moments 	1
the art direction and costumes are gorgeous and finely detailed , and kurys ' direction is clever and insightful 	1
sloppy script 	0
artistic aspirations 	1
sensual 	1
more like the pilot episode of a tv series 	0
she loves them to pieces 	1
god bless crudup and his aversion to taking the easy hollywood road and cashing in on his movie-star gorgeousness . 	1
ultimately flawed 	0
a class by itself 	1
silly comedy 	1
than a more measured or polished production ever could 	1
surprisingly gentle 	1
critical and commercial disaster 	0
ingenious and often harrowing 	1
feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay 	0
desiccated talent 	0
what it is supposed to be , but ca n't really call it a work of art 	0
where nothing really happens . 	0
do n't add up to much more than trite observations on the human condition 	0
smeary and blurry , to the point of distraction 	0
ever so gracefully -- 	1
j.k. rowling 's marvelous series 	1
myself powerfully drawn toward the light -- the light of the exit sign 	0
a disaster of a drama 	0
an eloquent , reflective and beautifully 	1
stench 	0
is pleasingly emphatic in this properly intense , claustrophobic tale of obsessive love 	1
photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen 	1
perfect comic timing 	1
win you over , in a big way 	1
assured 	1
sandbox 	1
gussied up with so many distracting special effects and visual party tricks that it 's not clear whether we 're supposed to shriek or laugh . 	0
it is parochial , accessible to a chosen few , standoffish to everyone else , and smugly suggests a superior moral tone is more important than filmmaking skill 	0
moviegoing pleasures 	1
's get this thing over with 	0
achieves its main strategic objective : 	1
, it 's waltzed itself into the art film pantheon . 	1
sneaks up on you and 	1
a cheat in the end 	0
fabulously 	1
( t ) he film is never sure to make a clear point -- even if it seeks to rely on an ambiguous presentation . 	0
is undone by anachronistic quick edits and occasional jarring glimpses of a modern theater audience watching the events unfold . 	0
takes a surprising , subtle turn at the midway point . 	1
do bad things 	0
one of the world 's most fascinating stories 	1
an honest , sensitive story 	1
's simply stupid , irrelevant and deeply , truly 	0
the audience was put through torture for an hour and a half 	0
one funny popcorn flick . 	1
cheap-looking 	0
with the subject of love head-on 	1
are until the film is well under way -- and yet it 's hard to stop watching 	1
multilayered 	1
has never been filmed more irresistibly than in ` baran . 	1
's trying to set the women 's liberation movement back 20 years 	0
it more than adequately fills the eyes and stirs the emotions 	1
remove spider-man the movie from its red herring surroundings and it 's apparent that this is one summer film that satisfies 	1
fall together without much surprise 	0
at once a testament to the divine calling of education and a demonstration of the painstaking process of imparting knowledge . 	1
most good-hearted yet 	1
too violent 	0
but its just not a thrilling movie 	0
it 's too much syrup and not enough fizz 	0
both people 's capacity 	1
a lovely , sad dance 	1
vacant 	0
i am more offended by his lack of faith in his audience than by anything on display here . 	0
it has fun with the quirks of family life , 	1
filled with fantasies , daydreams , memories and one fantastic visual trope after another 	1
sexual jealousy , resentment 	0
another cool crime movie 	1
life affirming and heartbreaking , 	1
the wit and hoopla 	1
to squeeze the action and our emotions into the all-too-familiar dramatic arc of the holocaust escape story 	1
less the cheap thriller you 'd expect than it is a fairly revealing study of its two main characters -- damaged-goods people whose orbits will inevitably 	1
has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made . 	1
deliciously nonsensical comedy 	1
flawed 	0
a treat for its depiction on not giving up on dreams when you 're a struggling nobody . 	1
is an enjoyable big movie 	1
is so convincing that by movies ' end you 'll swear you are wet in some places and feel sand creeping in others . 	1
that quickly wears out its limited welcome 	0
rustic , realistic , and altogether creepy 	1
a side dish of asparagus 	0
( the film ) works , due mostly to the tongue-in-cheek attitude of the screenplay . 	1
's also probably the most good-hearted yet sensual entertainment i 'm likely to see all year 	1
is exactly how genteel and unsurprising the execution turns out to be . 	1
is one of my least favorite emotions , especially when i have to put up with 146 minutes of it . 	0
we 've seen the hippie-turned-yuppie plot before , 	0
gore for suspense . 	0
godard uses his characters -- if that 's not too glorified a term -- as art things , mouthpieces , visual motifs , blanks . 	0
relies less on forced air than on petter næss ' delicate , clever direction ... and a wonderful , imaginative script by axel hellstenius 	1
unlike lots of hollywood fluff , this has layered , well-developed characters and some surprises . 	1
using his storytelling ability 	1
neat premise 	1
stylized swedish fillm 	1
the plot is nothing but boilerplate clichés from start to finish , 	0
dull , a road-trip movie that 's surprisingly short of both adventure and song . 	0
defeated the film ... it was the unfulfilling , incongruous , `` wait a second 	0
( a ) boldly stroked , luridly colored , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain . 	0
killing its soul 	0
a fast-moving and cheerfully simplistic 88 minutes of exaggerated action 	1
spin hopelessly out of control -- that is to say 	0
are intriguing and realistic 	1
holds interest in the midst of a mushy , existential exploration of why men leave their families 	1
they do n't fit well together and neither is well told 	0
gifted 	1
like a good guy 	1
exists , and does so with an artistry that also smacks of revelation 	1
a pretty listless collection 	0
-- farts , boobs , unmentionables -- 	0
won -- and wins still 	1
made no such thing 	0
the imagined glory of their own pasts 	0
falling short as a whole 	0
cedar 's 	1
creates a fluid and mesmerizing sequence of images to match the words of nijinsky 's diaries . 	1
too-conscientious adaptation 	0
an exclamation point 	1
angel presents events partly from the perspective of aurelie and christelle , and infuses the film with the sensibility of a particularly nightmarish fairytale . 	1
the highs and lows 	1
serenity and discipline 	1
aspires to the cracked lunacy of the adventures of buckaroo banzai , but thanks to an astonishingly witless script ends up more like the adventures of ford fairlane . 	0
hate to tear your eyes away from the images long enough to read the subtitles 	1
to see it twice 	1
in the end , it stays in formula -- which is a waste of de niro , mcdormand and the other good actors in the cast 	0
we find ourselves surprised at how much we care about the story 	1
no real surprises 	0
indeed almost never , is such high-wattage brainpower coupled with pitch-perfect acting and an exquisite , unfakable sense of cinema . 	1
wears out its limited welcome 	0
, but wanes in the middle 	0
find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most 	1
is no psychology here , and no real narrative logic -- just a series of carefully choreographed atrocities , which become strangely impersonal and abstract 	0
should strike a nerve in many 	0
the only way to tolerate this insipid , brutally clueless film 	0
it 's endlessly inventive , consistently intelligent and sickeningly savage . 	1
is something rare and riveting : a wild ride that relies on more than special effects . 	1
acting -- more accurately , it 's moving 	1
immensely entertaining 	1
is more interesting ( and funnier ) 	1
the boat loads of people who try to escape the country 	0
pacino gives one of his most daring , and complicated , performances 	1
accepting this in the right frame of mind can only provide it with so much leniency . 	1
about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights 	1
acted by diane lane and richard gere . 	1
pure , exciting moviemaking 	1
such high-wattage brainpower coupled with pitch-perfect acting and an exquisite , unfakable sense of cinema 	1
halfwit 	0
pratfalls aside , barbershop gets its greatest play from the timeless spectacle of people really talking to each other . 	1
animal 	1
stolid remake 	0
seen this summer 	1
features nonsensical and laughable plotting , wooden performances 	0
of a sports extravaganza 	1
a stirring tribute 	1
a phlegmatic bore , 	0
's unlikely we 'll see a better thriller this year . 	1
so willing to champion the fallibility of the human heart 	1
disney 's cinderella proved that ' a dream is a wish your heart makes 	1
maintains your sympathy for this otherwise challenging soul 	1
manages just to be depressing , as the lead actor phones in his autobiographical performance . 	0
frei assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he 's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to communicate the truth of the world around him . 	1
can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars 	1
memorable and resourceful performances 	1
of mixed messages , over-blown drama and bruce willis 	0
every faltering half-step of its development 	0
bombastic and ultimately empty 	0
infused frida with a visual style unique and inherent 	1
herzog simply runs out of ideas and 	0
's fun for kids of any age 	1
you 'll enjoy the hot chick . 	1
bryan adams , the world 's most generic rock star 	1
anyone who welcomes a dash of the avant-garde fused with their humor should take pleasure in this crazed 	1
sweet , funny , 	1
managed to convey a tiny sense of hope 	1
genuinely worthwhile 	1
with spikes of sly humor 	1
gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill . 	1
, marvelously twisted shapes history 	1
nervy and 	1
look ahead and resist living in a past 	1
one terrific story with lots of laughs 	1
swallow thanks to remarkable performances by ferrera and ontiveros 	1
a problem hollywood too long has ignored 	0
let crocodile hunter steve irwin do what he does best 	1
scoob 	1
a definitive account 	1
performers who rarely work in movies now 	1
moments of spontaneous creativity and authentic co-operative interaction 	1
this time , the hype is quieter , and while the movie is slightly less successful than the first , it 's still a rollicking good time for the most part 	1
is capped with pointless extremes 	0
in fast-edit , hopped-up fashion 	0
no way original 	0
odd and weird 	0
sloughs one 's way 	0
enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers 	1
professional 	1
slapdash mess 	0
put on an intoxicating show 	1
marvelous documentary touches 	1
funny and touching film 	1
slap her - she 's not funny ! 	0
is a brilliant movie . 	1
, flashy , overlong soap opera . 	0
this story of unrequited love does n't sustain interest beyond the first half-hour . 	0
sand 's masculine persona , with its love of life and beauty , takes form 	1
here his sense of story and his juvenile camera movements smack of a film school undergrad , and 	0
a bad premise , just 	0
expects something special but instead gets ( sci-fi ) rehash 	0
of deadpan cool , wry humor and just the measure 	1
a great story 	1
succumbs to the trap of the maudlin or tearful 	0
it is nearly impossible to look at or understand 	0
whipping 	0
give full performances 	1
little more than a particularly slanted , gay s/m fantasy , enervating 	0
after watching it , you can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history . 	1
is only so much baked cardboard i need to chew . 	0
are few things in this world more complex -- and , as it turns out , more fragile 	1
the new populist comedies that underscore the importance of family tradition and familial community 	1
's never dull 	1
a bland , surfacey way that does n't offer any insight into why , for instance , good things happen to bad people 	0
this thriller is too loud and thoroughly overbearing 	0
suspense , intriguing characters and bizarre bank robberies , 	1
is a great film 	1
absorbing look 	1
highly entertaining , self-aggrandizing , politically motivated 	1
contains very few laughs and even less surprises 	0
a fine , understated piece of filmmaking 	1
much of all about lily chou-chou is mesmerizing : some of its plaintiveness could make you weep . 	1
a delightfully quirky movie to be made from curling 	1
is essentially devoid of interesting characters or even a halfway intriguing plot 	0
do cliches , no matter how ` inside ' they are 	0
the color sense of stuart little 2 	1
some real vitality 	1
very ugly 	0
punishable by chainsaw 	0
the film is static 	0
fiendishly 	0
a wooden delivery 	0
is a wonderous accomplishment of veracity and narrative grace 	1
and , in the end , not well enough 	0
if the screenplay falls somewhat short 	0
but windtalkers does n't beat that one , either . 	0
and interesting characters 	1
's a hellish , 	0
though its story is only surface deep , the visuals and enveloping sounds of blue crush make this surprisingly decent flick worth a summertime look-see . 	1
soulless and -- even more damning -- 	0
a woefully dull , redundant concept that bears more than a whiff of exploitation , despite iwai 's vaunted empathy 	0
's like going to a house party and watching the host defend himself against a frothing ex-girlfriend . 	0
, this is the opposite of a truly magical movie . 	0
feel more like a non-stop cry for attention , than an attempt at any kind of satisfying entertainment . 	0
thrills and extreme emotions 	1
a quiet family drama with a little bit of romance and a dose of darkness 	1
the rich promise of the script will be realized on the screen 	1
is intriguing , provocative stuff 	1
intense and 	1
the characters move with grace and panache 	1
a delightful comedy centering on food 	1
normally , rohmer 's talky films fascinate me , but when he moves his setting to the past , and relies on a historical text , he loses the richness of characterization that makes his films so memorable 	0
the best possible senses of both those words 	1
hugely enjoyable in its own right though not really faithful to 	1
as intelligent 	1
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role . 	1
disappointingly thin 	0
bring off this kind of whimsy 	1
darkly funny and frequently insightful . 	1
wickedly funny , visually engrossing , 	1
the film makes up for it with a pleasing verisimilitude . 	1
honestly nice little film 	1
impossibly 	0
reminiscent 	1
heartwarming scene the impressively discreet filmmakers may have expected to record with their mini dv 	1
to show this movie to reviewers before its opening , afraid of the bad reviews they thought they 'd earn 	0
the universal theme of becoming a better person through love has never been filmed more irresistibly than in ` baran . ' 	1
lacks the spirit of the previous two , and 	0
're struggling to create . 	0
much colorful eye candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them 	1
as before , from the incongruous but chemically perfect teaming of crystal and de niro 	1
a convolution of language that suggests it 	0
generates little narrative momentum , 	0
why would anyone cast the magnificent jackie chan in a movie full of stunt doubles and special effects ? 	0
leigh is one of the rare directors who feels acting is the heart and soul of cinema . 	1
is a subzero version of monsters , inc. , without the latter 's imagination , 	0
it 's no lie 	1
( or robert aldrich 	1
pat storylines 	0
showing off 	0
handsome and well-made entertainment 	1
skimpy 	0
that place , that time 	1
but here 's a movie about it anyway . 	0
cuts to the chase of the modern girl 's dilemma 	1
lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay 	0
be prepared to cling to the edge of your seat , tense with suspense . 	1
it 's hard to quibble with a flick boasting this many genuine cackles , but 	1
a bad idea from frame one 	0
something about how lame it is to try and evade your responsibilities 	0
rotten in almost every single facet of production that you 'll want to crawl up your own *** in embarrassment 	0
the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process . 	1
that constantly defies expectation 	1
hits and generally sustains a higher plateau with bullock 's memorable first interrogation of gosling . 	1
's an unhappy situation all around . 	0
the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural -- why did n't hollywood think of this sooner ? 	1
the emotion is impressively true for being so hot-blooded , and both leads are up to the task . 	1
all of the elements are in place for a great film noir , but 	1
offers opportunities for occasional smiles and 	1
fun , popcorn movies 	1
fights a good fight on behalf of the world 's endangered reefs 	1
, evelyn comes from the heart . 	1
of cool stuff packed into espn 's ultimate x. 	1
a funny , triumphant , and 	1
is icily brilliant . 	1
could have used my two hours better watching being john malkovich again 	0
more revealing , more emotional and more surprising 	1
are tantamount to insulting the intelligence of anyone who has n't been living under a rock ( since sept. 11 ) . 	0
have been lost in the translation 	0
the run-of-the-mill singles blender 	0
of dramatic enlightenment 	1
, it 's a film that affirms the nourishing aspects of love and companionship . 	1
is serry 's ability to take what is essentially a contained family conflict and put it into a much larger historical context 	1
been there , done that , 	0
a waterlogged version of ` fatal attraction ' for the teeny-bopper set ... a sad , soggy potboiler that wastes the talents of its attractive young leads . 	0
entertaining tricks 	1
the edge of your seat , tense with suspense 	1
through about 90 minutes of a so-called ` comedy ' and not laugh 	0
that offers a thoughtful and rewarding glimpse into the sort of heartache everyone 	1
unflappable air 	1
does feel like a short stretched out to feature length . 	0
bears is even worse than i imagined a movie ever could be . 	0
enthusiasm , 	1
's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful . 	0
the most watchable film of the year 	1
fun and enjoyable 	1
... pray does n't have a passion for the material . 	0
unique directing style 	1
accompanied by the sketchiest of captions . 	0
throws in too many conflicts to keep the story compelling 	0
mind-destroying 	0
making this character understandable , in getting under her skin , in exploring motivation ... 	1
drifts aimlessly 	0
so vividly that the artist 's work may take on a striking new significance for anyone who sees the film 	1
a bad soap opera 	0
appalling , shamelessly manipulative and contrived , and 	0
dashing and resourceful hero 	1
when it 's not wallowing in hormonal melodrama , `` real women have curves '' is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to fulfill her dreams . 	1
remarkable yet 	1
is playful but highly studied and dependent for its success on a patient viewer 	1
arresting 	1
reign 	1
as with most late-night bull sessions , eventually the content is n't nearly as captivating as the rowdy participants think it is . 	0
technically superb film 	1
it 's an odd show , pregnant with moods , stillborn except as a harsh conceptual exercise . 	0
that one in clockstoppers , a sci-fi thriller as lazy as it is interminable 	0
manages to delight without much of a story . 	1
the four feathers comes up short 	0
replete with the pubescent scandalous innuendo 	0
does not translate well to the screen 	0
he 's just a sad aristocrat in tattered finery , and the film seems as deflated as he does . 	0
the film is full of charm . 	1
great idea 	1
this may be the first cartoon ever to look as if it were being shown on the projection television screen of a sports bar . 	0
adult movies 	0
the natural affability that has made tucker a star 	1
sweet gentle jesus 	1
walked away from this new version of e.t. just as i hoped i would -- with moist eyes . 	1
seems to want both , but succeeds in making neither 	0
's not too much of anything . 	0
the slapstick is labored , and 	0
ethical and philosophical 	1
those prone to indignation need not apply 	0
keeps coming back to the achingly unfunny phonce and his several silly subplots . 	0
high hilarity 	1
raises some worthwhile themes while delivering a wholesome fantasy for kids 	1
drains it of the dramatic substance that would shake us in our boots ( or cinema seats ) 	0
in your heart 	1
like its title character , this nicholas nickleby finds itself in reduced circumstances -- and , also like its hero , it remains brightly optimistic , coming through in the end . 	1
are , with the drumming routines , among the film 's saving graces 	1
barlow 	0
piercing domestic drama 	1
the corniest 	0
oftentimes funny , yet ultimately cowardly 	0
's sharply comic and surprisingly touching , so hold the gong 	1
it 's possible that something hip and transgressive was being attempted here that stubbornly refused to gel 	0
crack a smile 	1
your toes wo n't still be tapping 	1
layer of action man cliché atop wooden dialogue 	0
had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration 	0
intriguing , provocative stuff 	1
held my attention 	1
, esther kahn is unusual but unfortunately also irritating . 	0
to the point of nausea 	0
like the original , this version is raised a few notches above kiddie fantasy pablum by allen 's astringent wit . 	1
scuzzy 	0
though a morbid one 	0
a rude black comedy about the catalytic effect a holy fool 	0
in an attempt to make the film relevant today , without fully understanding what it was that made the story relevant in the first place 	0
a frightening and compelling ` what if 	1
attracting audiences 	1
stuck in a dark pit having a nightmare about bad cinema 	0
thanks to its cast , its cuisine and its quirky tunes 	1
surprisingly short of both adventure and song 	0
watch , giggle and get an adrenaline boost without feeling like you 've completely lowered your entertainment standards 	1
delightful surprise 	1
bracing intelligence and a vision both painterly and literary 	1
to make such a worthless film 	0
irresponsible 	0
comfy 	1
the script was reportedly rewritten a dozen times -- either 11 times too many or else too few . 	0
try this obscenely bad dark comedy , so crass that it makes edward burns ' sidewalks of new york look like oscar wilde . 	0
to construct a story with even a trace of dramatic interest 	0
bilked 	0
life affirming 	1
everything is delivered with such conviction that it 's hard not to be carried away 	1
healing process 	1
, loud , bang-the-drum 	1
as an exquisite motion picture in its own right 	1
wise-beyond-her-years teen 	1
as sappy as big daddy 	0
a rehash 	0
wholly unnecessary 	0
you do n't need to be a hip-hop fan to appreciate scratch , 	1
of the better video-game-based flicks , 	1
care less 	0
wallowing in its characters ' frustrations 	0
the scorpion king more than ably meets those standards 	1
are easy to swallow thanks to remarkable performances by ferrera and ontiveros 	1
of static set ups , not much camera movement , and most of the scenes 	0
the phoniness of female-bonding pictures like divine secrets of the ya-ya sisterhood 	0
pleasurable 	1
that delicate canon 	1
as a recording of conversations at the wal-mart checkout line 	0
a sweet , even delectable diversion 	1
baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within . 	1
tight and truthful , full of funny situations and honest observations 	1
confusing 	0
's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions 	0
the past 20 minutes looking at your watch 	0
adequately fills the eyes 	1
( soderbergh ) tends to place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence , and he creates an overall sense of brusqueness 	0
completely enlightening 	1
does n't mean you have to check your brain at the door 	0
to pull his head out of his butt 	0
to understand what made allen 's romantic comedies so pertinent and enduring 	1
is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham 	1
shame americans 	0
funny , charming and quirky 	1
the fun 	1
filmed directly from a television monitor 	0
video games are more involving than this mess . 	0
... the kind of movie you see because the theater has air conditioning . 	0
