model,task,precision,mode,quantizer,checkpoint,batch_source,h,h_policy,true_directional_nmse,corr_dq_dstar,sign_agreement,active_frac,norm_ratio,visible_direction_cos,d_Q_mean,d_Q_std,d_star_mean,d_star_std,n_directions,direction_seed,source_path,notes
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.03,grid,6.855186561893115e-06,0.9999966959007822,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.03,grid,7.071410038933405e-05,0.9999646514592784,,,,,,,,,64.0,existing,outputs/rtnclip_int4_prefix_mezo32_probe64_20260523_144315/summary.csv,"prefix_mezo32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.1,grid,0.0006247694143062,0.9996932442072728,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.1,grid,0.0056400132130095,0.9972388919022804,,,,,,,,,64.0,existing,outputs/rtnclip_int4_prefix_mezo32_probe64_20260523_144315/summary.csv,"prefix_mezo32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.3,grid,0.0303323359521567,0.9850850765093684,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,1.0,grid,2.108969858366942,-0.0953495297862063,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.0001,grid,534.2268379612483,-0.0002281511397125,,,,,,,,,32.0,existing,outputs/rtnclip_int4_prefix_fd_nmse_bound_20260522_185011/summary.csv,"prefix_int4_old; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.0003,grid,33.26400660434287,-0.2355481413531298,,,,,,,,,32.0,existing,outputs/rtnclip_int4_prefix_fd_nmse_bound_20260522_185011/summary.csv,"prefix_int4_old; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.001,default,1.0,,,,,,,,,,32.0,existing,outputs/rtnclip_int4_prefix_fd_nmse_bound_20260522_185011/summary.csv,"prefix_int4_old; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.003,grid,2.8043921158142533,0.7192526244473116,,,,,,,,,32.0,existing,outputs/rtnclip_int4_prefix_fd_nmse_bound_20260522_185011/summary.csv,"prefix_int4_old; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.01,grid,0.1454386917412415,0.9329343663500972,,,,,,,,,32.0,existing,outputs/rtnclip_int4_prefix_fd_nmse_bound_20260522_185011/summary.csv,"prefix_int4_old; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.03,grid,0.0145550301119782,0.9929629325359678,,,,,,,,,32.0,existing,outputs/rtnclip_int4_prefix_fd_nmse_bound_20260522_185011/summary.csv,"prefix_int4_old; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.1,grid,0.0066331658477356,0.9968194336154408,,,,,,,,,32.0,existing,outputs/rtnclip_int4_prefix_fd_nmse_bound_20260522_185011/summary.csv,"prefix_int4_old; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.3,grid,0.1527440364586833,0.9210712739511075,,,,,,,,,32.0,existing,outputs/rtnclip_int4_prefix_fd_nmse_bound_20260522_185011/summary.csv,"prefix_int4_old; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,int4,prefix_int4,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,1.0,grid,1.2417121217130465,0.3377667456576788,,,,,,,,,32.0,existing,outputs/rtnclip_int4_prefix_fd_nmse_bound_20260522_185011/summary.csv,"prefix_int4_old; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0001,grid,25.61949408227173,-0.2913907333564017,,0.0011168292089307,6.448543320057694,0.128189515911169,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0002,grid,48.16542302742703,-0.1104719017145852,,0.0022551868682217,4.57942078841152,0.1825544026842405,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0003,grid,30.79500719774699,0.1971833521608487,,0.0034135832565683,3.755251983318764,0.2249902957183706,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0005,grid,15.56601961305028,0.2050430346108589,,0.0057834062445888,2.932159944935628,0.2938068647370087,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0007,grid,9.903104669908908,0.3847962334228536,,0.0082122088371262,2.4953959037365303,0.3510111174379318,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.00085,grid,10.835804576925856,0.5626092294041688,,0.0100668107890497,2.275037140520064,0.3892041078923304,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.001,default,7.925567531921192,0.4264194982008846,,0.0119468708915683,2.106613176334338,0.424518954826892,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0012,grid,8.887881917400502,0.3711450632644663,,0.0144831200946316,1.933064419511503,0.4680159840278681,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0015,grid,5.499377943523933,0.3750456798788916,,0.018333418447542,1.7411971810744644,0.5273000271669306,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0018,grid,3.2917301308237508,0.3674416792568171,,0.022197601530348,1.600411339040703,0.5806914864702283,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.002,grid,2.261004452361515,0.4329563114865918,,0.0247541979534273,1.525754688967642,0.6133212451389584,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0025,grid,1.6818224797474586,0.4687207492925854,,0.0309515748095451,1.3856532585087071,0.684917132061623,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.003,grid,1.2443350356174336,0.4453488061893811,,0.0367004829758382,1.291159024864144,0.7427793299986356,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0035,grid,0.8216227085942454,0.6273160737619036,,0.0418895306730533,1.2256869859618924,0.7884241493316733,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.004,grid,0.5941229590754579,0.7629058625298509,,0.0464980760767015,1.178972873347092,0.8240836269045234,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.005,grid,0.3536892025116122,0.8076255108888342,,0.0541415210968077,1.118549442760575,0.8739487797780578,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.005,grid,0.8986521215915952,0.6051405922269879,,0.0541249246346915,1.11900225139926,0.873580826228012,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.006,grid,0.6862119518459414,0.6146901322444229,,0.0600672047785874,1.0825946370820594,0.905268725795059,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.007,grid,0.1742518119522982,0.8677150362674391,,0.0647678518723198,1.0586438123344213,0.9265149870537472,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.007,grid,0.6096138040681834,0.6220025339458428,,0.0647502058378248,1.058913578851755,0.926273027769968,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.008,grid,0.6313138444525725,0.5942123423669329,,0.0685042664366627,1.0425883336204833,0.9407851944509872,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.009,grid,0.9319015556590424,0.3927388600886485,,0.0715673246861234,1.0308075574454725,0.9511694595285964,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.01,grid,0.6165120062162678,0.5754770993551069,,0.0741201743942043,1.021765416684526,0.958958638626253,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,mnli,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.01,grid,1.0049754941183744,0.3237490340865704,,0.0741058345742251,1.0219160631445237,0.9588230644371194,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/mnli/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0001,grid,206.1233579204789,0.3298454278047744,,0.001112447798187,6.4865601627675895,0.1275247795493347,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0002,grid,119.40711945785118,0.4292322602433408,,0.0022464754361542,4.608229756406664,0.1815867151675176,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0003,grid,68.65140528044752,0.4313120677867307,,0.0034008180094316,3.778732569977375,0.2238504206931588,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0005,grid,40.72581083686445,0.3375483429805651,,0.005759405535736,2.9494251918451417,0.2922917656214971,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0007,grid,28.14052637747406,0.3884134709181459,,0.0081778643866485,2.509742004168505,0.3491872839714559,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.00085,grid,18.88688084296985,0.2538650947873354,,0.0100248627414824,2.288061003341218,0.3871963985330949,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.001,default,13.260281424658997,0.2802667791810325,,0.0118969343645893,2.118622794270528,0.4223155693601443,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0012,grid,8.306094107566544,0.3325427027986438,,0.0144227826557919,1.944043362567322,0.465587099169496,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0015,grid,5.644009180712009,0.2369179979649646,,0.018256839059332,1.751067354244657,0.5245685328298646,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0018,grid,5.74894583078826,0.0851103977764068,,0.0221017979691036,1.609400944074661,0.577652081317538,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.002,grid,3.735541043353197,0.0943298644225592,,0.024645805971366,1.5343091535244282,0.610127313126983,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0025,grid,2.74358439585629,0.2784391709530108,,0.0308053278960319,1.3930724816534237,0.6813743159268861,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.003,grid,1.4508579669794035,0.4444526171931828,,0.0365226103199757,1.2975598647572857,0.7391662369980272,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0035,grid,1.809215873587736,0.4459790312003124,,0.0416854001784247,1.2310993435758086,0.7849370446587047,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.004,grid,1.6275640812235408,0.4405924083348448,,0.0462772060772068,1.1835380307186298,0.8208518937230337,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.005,grid,1.34697680177951,0.4761943927527268,,0.0539040345890778,1.1218736702780912,0.8713125534334437,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.005,grid,2.498068208136601,0.0015583605086802,,0.0532909501930878,1.1282556431805135,0.8657110111184941,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.006,grid,3.492506914619856,-0.1389784965700142,,0.0592474062595961,1.089607931286981,0.8989892746098911,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.007,grid,1.2868147565591377,0.1549010965997761,,0.0645413111303088,1.06064745127544,0.9248291739445356,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.007,grid,4.036492486463429,-0.0552515011627345,,0.0639669079208157,1.0644522009320343,0.92123869823216,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.008,grid,5.138429216994606,0.0068690512205877,,0.0677655009451445,1.0470125501484808,0.9366925478498956,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.009,grid,2.740830780790928,0.1734476387197215,,0.0708758214088536,1.0344507566741128,0.9477986680484124,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.01,grid,1.7006365012786244,-0.0404036008851958,,0.0739328487191578,1.0229039578166566,0.9580322518016824,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,rte,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.01,grid,4.128528741426236,0.0697896162062371,,0.0734588069607224,1.0249562810805857,0.956007016552904,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/rte/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0001,grid,7.011304189518272,0.205415007970504,,0.0010995475655379,6.520029683274061,0.1267301135188359,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-2/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0002,grid,4.077894346996859,-0.045266114203599,,0.0022227398447872,4.633314525196675,0.180554631958895,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-2/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0003,grid,5.53045445940961,-0.0828248706540144,,0.003365019419989,3.799541157654194,0.2225560505042268,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-2/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
roberta-large,sst-2,int4,sparse_p0p1,G128_RTNClip,existing_probe_checkpoint_or_init,existing_probe_batch,0.0005,grid,3.046693488118416,0.3159716402130177,,0.0057010538191244,2.9661299100761105,0.2905707371489595,,,,,16.0,existing,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-2/summary.csv,Sparse p=0.1 probe; default metric is d_h_minus_gTu where available.
